Activity ID,Activity Date,Activity Name,Difficulty,Medication Use,Emotion,Milestone,Activity Type,Journal Entry,Elapsed Time,Distance (Mi),Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High
6492813297,1/8/2022,Martinez Rankin Park,Hard,0,💪,Group practice,Run,First run and chose a hilly spot. Didn't use inhaler,6460,11.49,6460,5836,11490.86035,4.306054592,1.968961716,215.8695221,215.7700043,12,62.5
6528802816,1/15/2022,Alameda Bayfarm,Really hard,2,😣,Group practice,Run,Neighbohood run,6932,13.57,6932,6594,13575.26953,8.426660538,2.058730602,17.59292984,16.39290047,2.200000048,9
6534663258,1/16/2022,Phone Died half way 🤷‍♀️,Moderate,0,🙂,Group practice,Walk,Explore a new spot,6806,5.99,6806,3421,5991.22998,3.460058689,1.751309514,15.14435863,16.44440079,-4.099999905,4.900000095
6543804446,1/18/2022,Morning walk,Easy,0,😎,Solo,Walk,Explore a new spot,2782,4.94,2782,2767,4947.049805,4.53000021,1.787874937,13.90081501,7.90081501,-5.099999905,4.599999905
6551145750,1/19/2022,Afternoon Break,Easy,0,😩,Solo,Walk,Pretty sailboats and homes,1788,2.75,1788,1560,2757.5,3.620001316,1.767628193,0,-0.200000003,2.200000048,3.5
6564817672,1/22/2022,Alameda Creek trail in Fremont (6mi),Moderate,1,😩,Group practice,Run,Forgot to resume at halfway point! Warm weather and good pacing practice 🙂,4430,8.48,4430,4182,8488.719727,8.698046684,2.029823065,11.02567387,11.02567387,5.300000191,10.5
6570623343,1/23/2022,Public shore bay trail,Moderate,0,🙂,Group practice,Run,Water was nice,4477,8.5,4477,4172,8508.80957,5.093945503,2.039503813,15.78453255,15.78453255,-3,5.800000191
6574585484,1/24/2022,Morning,Easy,0,🙂,Solo,Run,Good to get moving,1875,3.54,1875,1777,3540.600098,3.938000441,1.992459297,14.347826,3.947826147,-8,6.099999905
6600964347,1/29/2022,Berkeley - Albany Bulb (9 mi),Moderate,0,🙂,Group practice,Run,"-Lost gps signal for the first half 🥲
-Despite a few detours, a very fun run (and with furry friends) 😄🐶",9050,10.64,9050,5069,10646.37988,5.016003609,2.100291967,74.21229553,74.41230011,-0.1829999983,35.09999847
6641892113,2/6/2022,"Kaiser 10k, SF Golden Gate Park",Moderate,1,😎,Race,Run,Beautiful Weather!! Lots of fun and great energy near the end 😄,7214,11.65,7214,5149,11657.15039,16.13105392,2.263963938,82.09387207,133.8939056,18.29999924,93.5
6657455329,2/9/2022,Morning Walk,Easy,0,🙂,Solo,Walk,Good sweat,2506,4.16,2506,2491,4167.759766,3.082995653,1.673127174,0,-0.1000000015,2.099999905,3.599999905
